Original_ID,Common_name,SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year
1778,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3C=2OC(CC3)CN[C@@H](C2CC2)C(N1C)=O)CC1=CC=CC=C1,0.193,10^6 cm/s,Papp AB,-6.714,Log Papp AB,0.193,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1778,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3C=2OC(CC3)CN[C@@H](C2CC2)C(N1C)=O)CC1=CC=CC=C1,32.7,10^6 cm/s,Papp BA,-4.485,Log Papp BA,32.7,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1778,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3C=2OC(CC3)CN[C@@H](C2CC2)C(N1C)=O)CC1=CC=CC=C1,2.15,10^6 cm/s,Papp AB+Inh.,-5.668,Log Papp AB+,2.15,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1778,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3C=2OC(CC3)CN[C@@H](C2CC2)C(N1C)=O)CC1=CC=CC=C1,16.4,10^6 cm/s,Papp BA+Inh.,-4.785,Log Papp BA+,16.4,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1778,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3C=2OC(CC3)CN[C@@H](C2CC2)C(N1C)=O)CC1=CC=CC=C1,7.6,    ,ER+Inh.,7.6,ER+,7.6,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1780,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NCCCC2C=CC=C3CCC(CN[C@@H](CC)C(N1C)=O)OC3=2)=O)CC1=CC=CC=C1,6.59,    ,ER+Inh.,6.59,ER+,6.59,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1780,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NCCCC2C=CC=C3CCC(CN[C@@H](CC)C(N1C)=O)OC3=2)=O)CC1=CC=CC=C1,13.1,10^6 cm/s,Papp BA+Inh.,-4.883,Log Papp BA+,13.1,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1780,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NCCCC2C=CC=C3CCC(CN[C@@H](CC)C(N1C)=O)OC3=2)=O)CC1=CC=CC=C1,1.99,10^6 cm/s,Papp AB+Inh.,-5.701,Log Papp AB+,1.99,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1780,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NCCCC2C=CC=C3CCC(CN[C@@H](CC)C(N1C)=O)OC3=2)=O)CC1=CC=CC=C1,297,    ,ER,297,ER,297,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1780,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NCCCC2C=CC=C3CCC(CN[C@@H](CC)C(N1C)=O)OC3=2)=O)CC1=CC=CC=C1,29.5,10^6 cm/s,Papp BA,-4.53,Log Papp BA,29.5,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1780,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NCCCC2C=CC=C3CCC(CN[C@@H](CC)C(N1C)=O)OC3=2)=O)CC1=CC=CC=C1,0.099,10^6 cm/s,Papp AB,-7.004,Log Papp AB,0.099,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1843,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)=O)CC1C2C=CC=CC=2NC=1,13.4,10^6 cm/s,Papp BA,-4.873,Log Papp BA,13.4,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1843,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)=O)CC1C2C=CC=CC=2NC=1,95,    ,ER,95,ER,95,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1843,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)=O)CC1C2C=CC=CC=2NC=1,0.142,10^6 cm/s,Papp AB,-6.848,Log Papp AB,0.142,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1843,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)=O)CC1C2C=CC=CC=2NC=1,13.5,    ,ER+Inh.,13.5,ER+,13.5,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1843,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)=O)CC1C2C=CC=CC=2NC=1,9.78,10^6 cm/s,Papp BA+Inh.,-5.01,Log Papp BA+,9.78,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1843,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)=O)CC1C2C=CC=CC=2NC=1,0.727,10^6 cm/s,Papp AB+Inh.,-6.138,Log Papp AB+,0.727,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1848,    ,OC(C)[C@H]1C(N[C@H](CC2=CC=CC=C2)C(=O)NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,2.21,    ,ER+Inh.,2.21,ER+,2.21,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1848,    ,OC(C)[C@H]1C(N[C@H](CC2=CC=CC=C2)C(=O)NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,11.3,10^6 cm/s,Papp AB+Inh.,-4.947,Log Papp AB+,11.3,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1848,    ,OC(C)[C@H]1C(N[C@H](CC2=CC=CC=C2)C(=O)NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,24.9,10^6 cm/s,Papp BA+Inh.,-4.604,Log Papp BA+,24.9,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1848,    ,OC(C)[C@H]1C(N[C@H](CC2=CC=CC=C2)C(=O)NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,64.2,10^6 cm/s,Papp BA,-4.192,Log Papp BA,64.2,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1848,    ,OC(C)[C@H]1C(N[C@H](CC2=CC=CC=C2)C(=O)NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,0.266,10^6 cm/s,Papp AB,-6.575,Log Papp AB,0.266,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1848,    ,OC(C)[C@H]1C(N[C@H](CC2=CC=CC=C2)C(=O)NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,241,    ,ER,241,ER,241,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1876,    ,OC(C)[C@H]1C(N[C@@H](C(NCC#CC2=C(C=CC=C2F)OCCN[C@@H](C(C)2CC2)C(N1C)=O)=O)CC1C=CC=CC=1)=O,14.1,10^6 cm/s,Papp BA+Inh.,-4.851,Log Papp BA+,14.1,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1876,    ,OC(C)[C@H]1C(N[C@@H](C(NCC#CC2=C(C=CC=C2F)OCCN[C@@H](C(C)2CC2)C(N1C)=O)=O)CC1C=CC=CC=1)=O,1.65,10^6 cm/s,Papp AB+Inh.,-5.783,Log Papp AB+,1.65,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1876,    ,OC(C)[C@H]1C(N[C@@H](C(NCC#CC2=C(C=CC=C2F)OCCN[C@@H](C(C)2CC2)C(N1C)=O)=O)CC1C=CC=CC=1)=O,8.52,    ,ER+Inh.,8.52,ER+,8.52,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1876,    ,OC(C)[C@H]1C(N[C@@H](C(NCC#CC2=C(C=CC=C2F)OCCN[C@@H](C(C)2CC2)C(N1C)=O)=O)CC1C=CC=CC=1)=O,28,10^6 cm/s,Papp BA,-4.553,Log Papp BA,28,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1876,    ,OC(C)[C@H]1C(N[C@@H](C(NCC#CC2=C(C=CC=C2F)OCCN[C@@H](C(C)2CC2)C(N1C)=O)=O)CC1C=CC=CC=1)=O,288,    ,ER,288,ER,288,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1876,    ,OC(C)[C@H]1C(N[C@@H](C(NCC#CC2=C(C=CC=C2F)OCCN[C@@H](C(C)2CC2)C(N1C)=O)=O)CC1C=CC=CC=1)=O,0.097,10^6 cm/s,Papp AB,-7.013,Log Papp AB,0.097,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1903,    ,OC(C)[C@H]1C(=O)N[C@H](CC2C=CC(=CC=2)F)C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,28.5,10^6 cm/s,Papp BA+Inh.,-4.545,Log Papp BA+,28.5,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1903,    ,OC(C)[C@H]1C(=O)N[C@H](CC2C=CC(=CC=2)F)C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,11.9,10^6 cm/s,Papp AB+Inh.,-4.924,Log Papp AB+,11.9,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1903,    ,OC(C)[C@H]1C(=O)N[C@H](CC2C=CC(=CC=2)F)C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,2.39,    ,ER+Inh.,2.39,ER+,2.39,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1903,    ,OC(C)[C@H]1C(=O)N[C@H](CC2C=CC(=CC=2)F)C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,58.9,10^6 cm/s,Papp BA,-4.23,Log Papp BA,58.9,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1903,    ,OC(C)[C@H]1C(=O)N[C@H](CC2C=CC(=CC=2)F)C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,0.291,10^6 cm/s,Papp AB,-6.536,Log Papp AB,0.291,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1903,    ,OC(C)[C@H]1C(=O)N[C@H](CC2C=CC(=CC=2)F)C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,203,    ,ER,203,ER,203,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1918,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C=CC(=CC=2OCCN[C@@H](C(C)2CC2)C(=O)N1C)F)CC1C=CC=CC=1,0.112,10^6 cm/s,Papp AB,-6.951,Log Papp AB,0.112,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1918,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C=CC(=CC=2OCCN[C@@H](C(C)2CC2)C(=O)N1C)F)CC1C=CC=CC=1,380,    ,ER,380,ER,380,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1918,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C=CC(=CC=2OCCN[C@@H](C(C)2CC2)C(=O)N1C)F)CC1C=CC=CC=1,42.6,10^6 cm/s,Papp BA,-4.371,Log Papp BA,42.6,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1918,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C=CC(=CC=2OCCN[C@@H](C(C)2CC2)C(=O)N1C)F)CC1C=CC=CC=1,18.4,10^6 cm/s,Papp BA+Inh.,-4.735,Log Papp BA+,18.4,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1918,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C=CC(=CC=2OCCN[C@@H](C(C)2CC2)C(=O)N1C)F)CC1C=CC=CC=1,2.21,    ,ER+Inh.,2.21,ER+,2.21,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1918,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C=CC(=CC=2OCCN[C@@H](C(C)2CC2)C(=O)N1C)F)CC1C=CC=CC=1,8.32,10^6 cm/s,Papp AB+Inh.,-5.08,Log Papp AB+,8.32,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1929,    ,OC([C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C(=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC1C=CC=CC=1)C,3.33,10^6 cm/s,Papp AB+Inh.,-5.478,Log Papp AB+,3.33,Caco-2,Papp AB With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1929,    ,OC([C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C(=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC1C=CC=CC=1)C,18.4,10^6 cm/s,Papp BA+Inh.,-4.735,Log Papp BA+,18.4,Caco-2,Papp BA With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1929,    ,OC([C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C(=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC1C=CC=CC=1)C,216,    ,ER,216,ER,216,Caco-2,Efflux Ratio Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1929,    ,OC([C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C(=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC1C=CC=CC=1)C,36.9,10^6 cm/s,Papp BA,-4.433,Log Papp BA,36.9,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1929,    ,OC([C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C(=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC1C=CC=CC=1)C,0.171,10^6 cm/s,Papp AB,-6.767,Log Papp AB,0.171,Caco-2,Papp AB Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
1929,    ,OC([C@H]1C(=O)N[C@@H](C(=O)NCC#CC2C(=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC1C=CC=CC=1)C,5.54,    ,ER+Inh.,5.54,ER+,5.54,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011
801,    ,O=C1[C@@H](C)N(C([C@H](C2CCCCC2)NC[C@H]2CCC3C(=C(CCCNC([C@@H](CC(C)C)N1)=O)C=CC=3)O2)=O)C,0.672,    ,ER,0.672,ER,0.672,Caco-2,B to A/A to B,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
801,    ,O=C1[C@@H](C)N(C([C@H](C2CCCCC2)NC[C@H]2CCC3C(=C(CCCNC([C@@H](CC(C)C)N1)=O)C=CC=3)O2)=O)C,163,10^-6 cm/s,Papp AB,-3.788,Log Papp AB,163,Caco-2,Papp A to B,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
801,    ,O=C1[C@@H](C)N(C([C@H](C2CCCCC2)NC[C@H]2CCC3C(=C(CCCNC([C@@H](CC(C)C)N1)=O)C=CC=3)O2)=O)C,110,10^-6 cm/s,Papp BA,-3.959,Log Papp BA,110,Caco-2,Papp B to A,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
803,    ,O=C1[C@@H](C)N(C)C([C@H](C2CC2)NC[C@H]2CCC3=CC=CC(CCCNC([C@H](N1)CC1C=CC(=CC=1)O)=O)=C3O2)=O,5.59,    ,ER,5.59,ER,5.59,Caco-2,B to A/A to B,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
803,    ,O=C1[C@@H](C)N(C)C([C@H](C2CC2)NC[C@H]2CCC3=CC=CC(CCCNC([C@H](N1)CC1C=CC(=CC=1)O)=O)=C3O2)=O,67.3,10^-6 cm/s,Papp BA,-4.172,Log Papp BA,67.3,Caco-2,Papp B to A,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
803,    ,O=C1[C@@H](C)N(C)C([C@H](C2CC2)NC[C@H]2CCC3=CC=CC(CCCNC([C@H](N1)CC1C=CC(=CC=1)O)=O)=C3O2)=O,12.1,10^-6 cm/s,Papp AB,-4.917,Log Papp AB,12.1,Caco-2,Papp A to B,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
825,    ,O=C1[C@@H](C)N(C)C([C@H](C2CC2)NC[C@@H](C)OC2C(CCCNC([C@@H](CC(C)C)N1)=O)CCCC2)=O,113,10^-6 cm/s,Papp AB,-3.947,Log Papp AB,113,Caco-2,Papp A to B,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
825,    ,O=C1[C@@H](C)N(C)C([C@H](C2CC2)NC[C@@H](C)OC2C(CCCNC([C@@H](CC(C)C)N1)=O)CCCC2)=O,123,10^-6 cm/s,Papp BA,-3.91,Log Papp BA,123,Caco-2,Papp B to A,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
825,    ,O=C1[C@@H](C)N(C)C([C@H](C2CC2)NC[C@@H](C)OC2C(CCCNC([C@@H](CC(C)C)N1)=O)CCCC2)=O,1.08,    ,ER,1.08,ER,1.08,Caco-2,B to A/A to B,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
826,    ,O=C1[C@@H](C)N(C)C([C@H](C2CC2)NC[C@@H](C)OC2CCCCC2CCCNC([C@@H](CC2C=CC(=CC=2)O)N1)=O)=O,4.18,    ,ER,4.18,ER,4.18,Caco-2,B to A/A to B,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
826,    ,O=C1[C@@H](C)N(C)C([C@H](C2CC2)NC[C@@H](C)OC2CCCCC2CCCNC([C@@H](CC2C=CC(=CC=2)O)N1)=O)=O,11.2,10^-6 cm/s,Papp AB,-4.951,Log Papp AB,11.2,Caco-2,Papp A to B,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
826,    ,O=C1[C@@H](C)N(C)C([C@H](C2CC2)NC[C@@H](C)OC2CCCCC2CCCNC([C@@H](CC2C=CC(=CC=2)O)N1)=O)=O,46.9,10^-6 cm/s,Papp BA,-4.329,Log Papp BA,46.9,Caco-2,Papp B to A,https://patentimages.storage.googleapis.com/2a/a0/d3/ac820476e213f6/WO2008130464A1.pdf,Patents,WO2008130464A1,"(Hoveyda et al., 2008)",2008
